id,test_positive
0,-0.16906214
1,-0.21176004
2,-0.16318274
3,-0.36293754
4,-0.5209582
5,-0.042606056
6,0.18770772
7,-0.08484626
8,-0.051432073
9,-0.4403748
10,0.3704474
11,-0.42861855
12,0.34335983
13,-0.013019681
14,-0.07453114
15,-0.037168324
16,0.15521187
17,-0.18660957
18,-0.33988458
19,-0.5712498
20,0.054114044
21,-0.22528696
22,-0.6789582
23,-0.40560335
24,-0.5414363
25,-0.1446191
26,0.0037919283
27,0.0014372468
28,0.07871729
29,-0.43813163
30,0.22287858
31,-0.12599605
32,0.05236447
33,-0.12730789
34,0.40475678
35,-0.30096436
36,0.27744138
37,-0.13182312
38,0.15779233
39,-0.4059773
40,-0.43660426
41,-0.7013951
42,-0.07185078
43,0.11972231
44,-0.064011276
45,0.024758637
46,-0.4961763
47,-0.37447953
48,-0.5061096
49,0.15757757
50,-0.047277868
51,-0.48905575
52,-0.03726232
53,-0.16921562
54,0.13562572
55,-0.16154367
56,-0.6739038
57,-0.13125324
58,-0.58446795
59,0.3324889
60,-0.20539922
61,-0.17897487
62,-0.15824395
63,-0.6100264
64,-0.3014964
65,0.04288757
66,-0.81824577
67,-0.10171223
68,0.24495512
69,-0.23702204
70,-0.7480834
71,0.0044517517
72,0.16183478
73,-0.06371182
74,0.050919354
75,0.08322269
76,-0.41945457
77,-0.37077963
78,0.3102244
79,-0.6135713
80,-0.19052005
81,-0.28155845
82,-0.7544814
83,-0.35916752
84,-0.008013666
85,-0.85491645
86,0.08076435
87,0.16776216
88,-0.67496365
89,-0.15185905
90,0.08052641
91,-0.17048144
92,-0.45530397
93,-0.8903614
94,-0.15177768
95,-0.1625809
96,-0.15367281
97,-0.36581737
98,0.11101979
99,-0.50778216
100,-0.12914121
101,-0.3874147
102,-0.49043977
103,0.06023574
104,-0.4461161
105,-0.17601627
106,-0.53057843
107,-0.15240312
108,-0.28053963
109,-0.3292035
110,0.08529794
111,-0.21344626
112,-0.93253636
113,-0.064293206
114,-0.3255249
115,-0.3408051
116,-0.17413783
117,0.027703345
118,-0.5981776
119,-0.62495345
120,-0.94804955
121,0.39992833
122,-0.20248431
123,0.21532917
124,-0.38677078
125,-0.2669221
126,0.08026916
127,-0.17930001
128,-0.36014614
129,-0.020572066
130,-0.40833855
131,-0.20107949
132,-0.5349747
133,-0.07651806
134,-0.3393997
135,-0.104830205
136,-0.5945396
137,-0.5762915
138,-0.27622366
139,0.108493686
140,-0.80179274
141,-0.7079054
142,-0.13550264
143,-0.1820662
144,0.028832972
145,-0.7107802
146,-0.25048333
147,-0.36198723
148,-0.8611006
149,-0.3187979
150,-0.31532934
151,-0.35088027
152,-0.23223308
153,-0.6050361
154,-0.6126441
155,-0.10434979
156,-0.19889718
157,-0.091498554
158,-0.7339708
159,-0.18274897
160,-0.19316441
161,-0.59762245
162,0.18644089
163,-0.3165046
164,-0.58964574
165,-0.76658046
166,-0.39281088
167,-0.088136435
168,-0.24589539
169,-0.18270344
170,0.04372728
171,-0.63273466
172,-0.3220083
173,-0.21481758
174,0.0023770928
175,-0.22838563
176,-0.20908314
177,-0.53713274
178,0.0503335
179,-0.69634986
180,-0.41769904
181,-0.20203048
182,-0.5496474
183,-0.6312936
184,-0.20408604
185,-0.30812263
186,-0.28999647
187,-0.48939103
188,-0.5866444
189,-0.21979666
190,-0.26065522
191,-0.3562553
192,-0.2862473
193,-0.28037363
194,-0.424226
195,-0.29250145
196,-0.21619743
197,-0.41229808
198,-0.48932564
199,-0.208763
200,-0.5341959
201,-0.07074052
202,-0.69305533
203,-0.5489633
204,-0.3908164
205,-0.61819446
206,-0.7543941
207,0.10771698
208,-0.6384262
